experiment,dataset,llm,configuration,replicate_id,success,selected_iteration,train_metric,validation_metric,test_metric,metric_name,runtime_minutes
ablation_v5,human_ocr_ensembl,google/gemini-3-flash-preview,no_all_steps+none,ignored_overseer_memorise,True,0.0,0.8302615579027681,0.7100350475645519,0.7144369420920119,ACC,498.33
ablation_v5,human_ocr_ensembl,google/gemini-3-flash-preview,no_all_steps+none,warlike_specs_presented,True,0.0,0.7443710609348052,0.7241255990272513,0.7234779125658045,ACC,341.45
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_data_split+none,skirting_touchdown_belonged,True,3.0,0.7601816832524163,0.7505811666249419,0.7060540169375144,ACC,1066.87
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_data_split+none,pushy_bounds_fax,True,3.0,0.7866531059302143,0.7851937949841298,0.7417029068436714,ACC,361.12
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_all_steps+none,dejected_bottlebrush_choked,True,0.0,0.7360585821195783,0.6938950681306105,0.6972991531242847,ACC,3089.7
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_all_steps+none,interfering_lookout_earn,False,,,,,ACC,104.57
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_all_steps+none,testy_llama_cover,True,0.0,0.7387677369169282,0.7101677336289832,0.7117189288166629,ACC,2286.38
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_data_split+none,intimate_whiteness_fix,True,2.0,0.8305034736192699,0.8269375201173063,0.7655069810025177,ACC,1005.48
ablation_icl_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+static,exultant_knocking_baked,True,3.0,0.908053922219273,0.872657432624429,0.8749058493369453,AUPRC,32.88
ablation_icl_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+static,enraged_accountability_stripped,False,,,,,AUPRC,26.13
ablation_icl_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+static,grouchy_murderer_suggest,True,4.0,0.982271876161593,0.9834736810122183,0.8019494911694487,AUPRC,105.65
ablation_icl_v1,AGO2_CLASH_Hejret,x-ai/grok-4.1-fast,baseline+static,presumed_happiness_smoked,True,3.0,0.8974937744644947,0.7282203807986337,0.7497638508379078,AUPRC,59.72
ablation_icl_v1,AGO2_CLASH_Hejret,x-ai/grok-4.1-fast,baseline+static,molecular_clerk_timed,True,3.0,0.8842908489524021,0.8617940676511088,0.5462541321974124,AUPRC,38.22
ablation_icl_v1,AGO2_CLASH_Hejret,x-ai/grok-4.1-fast,baseline+static,devastated_amaryllis_pop,True,0.0,0.865255101846431,0.8002258152637469,0.8103626527988106,AUPRC,35.88
ablation_icl_v1,AGO2_CLASH_Hejret,gpt-oss:20b,baseline+static,heralded_ferret_dreamed,False,,,,,AUPRC,55.12
ablation_icl_v1,AGO2_CLASH_Hejret,gpt-oss:20b,baseline+static,engraved_staging_arrested,False,1.0,0.7539844061602532,0.785638556507566,,AUPRC,174.53
ablation_icl_v1,AGO2_CLASH_Hejret,gpt-oss:20b,baseline+static,echoing_mayhem_forced,True,0.0,0.6979031110305604,0.6379171528606407,0.6454293211508597,AUPRC,237.92
ablation_v1_ragstep,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+rag_step,legible_scarcity_pass,True,4.0,0.8481994046817951,0.8151799989736221,0.7962598822850201,AUPRC,55.42
ablation_v1_ragstep,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+rag_step,geeky_nervousness_rot,True,4.0,0.846242184715239,0.8601866025031801,0.7850260431815652,AUPRC,36.1
ablation_v1_ragstep,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+rag_step,bolder_commissioner_ignored,True,3.0,0.8689223024810382,0.9095988206829779,0.8041706007695776,AUPRC,33.0
ablation_v1_ragstep,AGO2_CLASH_Hejret,x-ai/grok-4.1-fast,baseline+rag_step,suspicious_complexity_influence,True,3.0,0.7999792347985948,0.8132189138840379,0.688502106388261,AUPRC,66.2
ablation_v1_ragstep,AGO2_CLASH_Hejret,x-ai/grok-4.1-fast,baseline+rag_step,pronged_bullion_pined,True,4.0,0.5496265450467016,0.529361626906256,0.5561941785932374,AUPRC,38.37
ablation_v1_ragstep,AGO2_CLASH_Hejret,x-ai/grok-4.1-fast,baseline+rag_step,dorky_processor_ruled,True,1.0,0.7867603744159369,0.7835941993316364,0.7570127197447266,AUPRC,109.73
ablation_v1_ragstep,AGO2_CLASH_Hejret,gpt-oss:20b,baseline+rag_step,illustrated_burglary_searched,True,0.0,0.7182938935197773,0.6539182314014422,0.6773123964566418,AUPRC,139.63
